name,gender,location,age,phone,workExperience,workExperienceYearsConditional,highestQualificationOrSkill,natureOfJobsInterestedIn,nameOfJobRolesInterestedIn,otherHelpNeeded,educationCategory,schoolQualification,schoolQualificationOther,collegeQualification,collegeQualificationOther,itiTrade,itiTradeOther,vocationalTrainingOther,polytechnicDiploma,polytechnicDiplomaOther,certificationDetails,itiInstitute,workExperienceYears,nameOfLastRoleHeld,languageSpoken
Ravi Kumar,Male,"No. 23, 5th Main, Peenya 2nd Stage, Bengaluru, Karnataka 560058",22,9876801001,Fresher,,ITI / Other Vocational Trainings,Apprenticeship,Electrician,Training,ITI / Other Vocational Trainings,,,,,Electrician (NSQF),,,,,,Govt ITI Tumakuru,,,Kannada|Hindi
Sangeeta Patil,Female,"Flat 4B, Magarpatta Road, Hadapsar, Pune, Maharashtra 411028",28,9876801002,Worked before,,ITI / Other Vocational Trainings,Full-time,"Tailor, Garment Quality Checker",Travel,ITI / Other Vocational Trainings,,,,,Sewing Technology (NSQF),,,,,,,3 Years,Sewing Machine Operator,Marathi|Hindi
Imran Pasha,Male,"No. 17, Cunningham Road, Shivajinagar, Bengaluru, Karnataka 560051",19,9876801003,Fresher,,School,Internship,"Delivery Associate, Store Helper",Accommodation,School,12th,,,,,,,,,,,,,Urdu|Kannada|Hindi
Deepa Nair,Female,"TC 9/120, Technopark Road, Kazhakkoottam, Thiruvananthapuram, Kerala 695582",24,9876801004,Fresher,,College,Full-time,Accounts Assistant,Training,College,,,B.Com,,,,,,,,,,,Malayalam|English|Tamil
Manoj Das,Male,"Plot 210, Rasulgarh Industrial Estate, Rasulgarh, Bhubaneswar, Odisha 751010",35,9876801005,Worked before,,ITI / Other Vocational Trainings,Full-time,"Welder, Fabricator",,ITI / Other Vocational Trainings,,,,,Welder (NSQF),,,,,,ITI Cuttack,5-10 Years,Welder,Odia|Hindi
Rekha Yadav,Female,"House No. 45, Kanpur Road, Alambagh, Lucknow, Uttar Pradesh 226005",31,9876801006,Returning after a break,,College,Flexible,"Data Entry, Back Office",Other,Polytechnic / Diploma,,,,,,,,Diploma in Computer Science,,,,2 Years,Data Entry Operator,Hindi|English
Arjun Gowda,Male,"No. 102, 4th Stage, Vijayanagar, Mysuru, Karnataka 570017",21,9876801007,Fresher,,College,Apprenticeship,"CNC Operator, Machinist",Training,Polytechnic / Diploma,,,,,,,,Diploma in Mechanical,,,,,,Kannada|English
Farzana Begum,Female,"12-2-417, Pathergatti, Charminar, Hyderabad, Telangana 500002",26,9876801008,Worked before,,Certification / Learned on the job,Flexible,"Beautician, Spa Therapist",,Certification,,,,,,,,,,VLCC Beauty Course Certificate,,1 Year,Beautician Assistant,Urdu|Telugu|Hindi
Suresh Munda,Male,"Road No. 6, Sakchi, Jamshedpur, Jharkhand 831001",23,9876801009,Fresher,,School,Full-time,"Warehouse Helper, Loader",Accommodation,School,10th,,,,,,,,,,,,,Hindi|Santali
Priya Sharma,Female,"B-32, Malviya Nagar, Jaipur, Rajasthan 302017",20,9876801010,Fresher,,College,Internship,"HR Intern, Marketing Intern",Training,College,,,B.B.A,,,,,,,,,,,Hindi|English
Velu Murugan,Male,"No. 8, Anna Salai, Guindy, Chennai, Tamil Nadu 600032",29,9876801011,Worked before,,ITI / Other Vocational Trainings,Full-time,"Bike Mechanic, Service Advisor",,ITI / Other Vocational Trainings,,,,,Mechanic Two & Three Wheeler (NSQF),,,,,,Govt ITI Guindy,3-5 Years,Two Wheeler Mechanic,Tamil|English
Anita Toppo,Female,"House No. 19, Hinoo Road, Doranda, Ranchi, Jharkhand 834002",25,9876801012,Fresher,,Certification / Learned on the job,Full-time,Hospital Housekeeping Staff,Accommodation,Other Vocational Training,,,,,,,Hospital housekeeping training by NGO,,,,,,,Hindi
Mohit Verma,Male,"C-78, Sector 14, Indira Nagar, Lucknow, Uttar Pradesh 226016",18,9876801013,Fresher,,School,Apprenticeship,Carpenter Helper,Training,School,Other,8th pass,,,,,,,,,,,,Hindi
